SA3_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
40501,996,1929,51,61,111,1162,1250,2412,131,280,408,190,208,396,24,39,66,345,527,872,1101,1109,2214,16868,17017,33885,966,910,1878,18935,19036,37975
40502,687,1390,52,58,119,901,940,1844,102,219,324,141,151,291,20,23,42,263,393,658,840,924,1765,9821,9696,19514,707,704,1410,11368,11324,22691
40503,859,1655,66,72,142,1059,1187,2245,131,272,403,176,190,364,22,35,61,329,497,826,1111,1203,2311,11422,11519,22941,957,948,1909,13490,13670,27164
40504,1067,2249,105,100,203,1489,1418,2903,135,245,382,212,251,461,36,63,99,383,559,948,1131,1108,2241,11298,11279,22572,992,851,1838,13421,13238,26652
40601,1447,2785,135,137,275,1779,1970,3760,219,415,633,299,337,636,49,69,119,567,821,1385,1712,1839,3546,24771,24477,49251,2330,1953,4288,28813,28269,57092
40602,377,843,71,49,120,660,568,1236,61,113,171,74,78,151,30,20,51,165,211,367,641,680,1319,10692,10320,21013,2028,1192,3222,13361,12192,25560
40701,2523,5176,164,145,306,3244,3232,6466,332,647,983,526,492,1024,53,92,138,911,1231,2144,2036,2423,4462,23523,24753,48273,1473,1391,2865,27032,28567,55593
40702,1833,3452,176,189,370,2141,2431,4570,244,500,745,360,436,794,68,136,211,672,1072,1750,2058,2024,4080,28840,28974,57814,2846,2122,4959,33744,33120,66851
40703,2049,4130,174,187,362,2738,2854,5589,320,660,982,454,492,941,74,105,174,848,1257,2096,2701,2895,5593,30268,29832,60098,3253,2309,5562,36222,35036,71259
49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,0,5,11,0,12
49999,16,47,7,6,4,40,25,64,4,3,3,3,7,6,0,0,0,7,10,11,105,101,205,1278,1098,2372,488,314,801,1871,1513,3377
50101,1464,2936,109,112,229,1824,1879,3702,197,421,619,284,353,635,32,42,78,513,816,1332,1257,1394,2654,24753,26100,50855,2071,1755,3823,28081,29249,57332
50102,2406,4619,188,234,419,2884,3216,6102,284,600,887,454,512,967,115,169,281,853,1281,2133,2863,2984,5846,46384,48344,94732,4024,2949,6976,53271,54277,107549
50103,679,1403,69,67,138,935,904,1843,94,143,237,113,122,235,22,23,40,229,288,508,650,734,1381,10262,10339,20596,1001,887,1886,11913,11960,23863
50201,3648,7147,265,313,574,4503,4749,9248,443,772,1216,736,784,1518,125,236,366,1304,1792,3095,3444,3616,7062,44945,48985,93925,3592,3055,6648,51981,55656,107641
50301,2166,4167,127,137,269,2355,2625,4980,297,563,865,494,606,1100,75,144,222,866,1313,2184,1123,1429,2547,32305,33981,66291,1482,1416,2898,34910,36826,71735
50302,1629,3198,148,137,287,2083,2300,4386,356,911,1269,347,448,796,69,93,164,772,1452,2226,1737,2459,4196,49648,50065,99710,3731,2882,6616,55116,55406,110530
50401,1752,3372,127,127,253,2147,2479,4621,295,733,1028,341,409,752,59,111,176,695,1253,1949,1972,2581,4555,37570,38264,75838,2243,1831,4070,41785,42676,84462
50402,1067,2067,93,83,181,1285,1388,2668,127,210,334,178,207,389,46,95,137,351,512,870,1003,1020,2026,18532,19131,37663,3107,999,4105,22642,21150,43792
50403,1806,3575,126,144,272,2339,2611,4950,287,568,847,311,342,656,77,91,171,675,1001,1678,3290,3417,6705,66262,67633,133895,4121,3606,7726,73673,74656,148324
50501,3195,6291,145,172,315,3747,4133,7877,414,899,1318,550,731,1282,81,115,193,1045,1745,2794,2843,3380,6224,73588,75386,148971,3075,2369,5446,79506,81135,160641
50502,4982,9041,288,341,625,5251,6752,12003,893,1783,2678,1042,1392,2429,159,248,412,2094,3423,5514,4460,5827,10283,90992,96269,187265,5585,5009,10603,101037,107105,208149
