Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"HIND Total Household Income (weekly) and STRD Dwelling Structure by SA1 (EN) by TEND Tenure Type"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

" Negative income,  Separate house"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"Segment 46",0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,
"Total",242,87,4,594,21,3,15,961,


" Negative income,  Flat or apartment attached to a house"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,3,
"Segment 03",0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,
"Segment 05",5,0,0,0,0,0,0,5,
"Segment 06",0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,4,0,0,0,4,
"Segment 12",5,0,0,0,0,0,0,6,
"Segment 13",0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,3,
"Segment 18",0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,7,
"Segment 20",0,0,0,0,0,0,0,4,
"Segment 21",0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,
"Segment 23",4,0,0,0,0,0,0,6,
"Segment 24",0,0,0,0,0,0,0,3,
"Segment 25",0,0,0,0,0,0,0,3,
"Segment 26",0,5,0,7,0,0,0,5,
"Segment 27",0,0,0,6,0,0,0,13,
"Segment 28",0,0,0,6,0,0,0,6,
"Segment 29",0,0,0,4,0,0,0,4,
"Segment 30",0,0,0,0,0,0,0,0,
"Segment 31",0,0,0,0,0,0,0,3,
"Segment 32",4,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,3,0,0,0,3,
"Segment 35",0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,
